,Data Set Name,Sensor,ADC,Degree,C[0],C[1],C[2],C[3]
0,calibration_data_sensor_A_adc0_10V.csv,A,0,1,3.453953062,-0.001752384,0,0
1,calibration_data_sensor_A_adc1_10V.csv,A,1,1,3.271707821,-0.001750185,0,0
2,calibration_data_sensor_B_adc0_10V.csv,B,0,1,1.895823719,-0.002004916,0,0
3,calibration_data_sensor_B_adc1_10V.csv,B,1,1,1.722505851,-0.001998174,0,0
4,calibration_data_sensor_C_adc0_10V.csv,C,0,1,1.612555466,-0.001853237,0,0
5,calibration_data_sensor_C_adc1_10V.csv,C,1,1,1.451050284,-0.001850033,0,0
6,calibration_data_sensor_A_adc0_10V.csv,A,0,3,2.922900073,-0.00157377,4.82E-08,1.93E-12
7,calibration_data_sensor_A_adc1_10V.csv,A,1,3,2.821221157,-0.001517876,5.21E-08,1.98E-12
8,calibration_data_sensor_B_adc0_10V.csv,B,0,3,1.802125756,-0.0016762,6.25E-08,2.47E-12
9,calibration_data_sensor_B_adc1_10V.csv,B,1,3,1.763291461,-0.001603564,6.65E-08,2.49E-12
10,calibration_data_sensor_C_adc0_10V.csv,C,0,3,1.385444216,-0.001644795,4.44E-08,1.73E-12
11,calibration_data_sensor_C_adc1_10V.csv,C,1,3,1.361951976,-0.001573562,4.93E-08,1.80E-12
